iter	Passed	Remaining
0	149	149814
1	152	75905
2	154	51331
3	156	38961
4	158	31555
5	160	26567
6	163	23126
7	165	20482
8	167	18404
9	172	17105
10	174	15710
11	176	14552
12	179	13590
13	181	12756
14	183	12024
15	185	11379
16	187	10823
17	189	10319
18	191	9869
19	193	9463
20	195	9111
21	197	8777
22	199	8474
23	201	8209
24	203	7954
25	205	7709
26	207	7482
27	209	7285
28	212	7098
29	214	6919
30	215	6744
31	217	6589
32	220	6451
33	222	6314
34	224	6179
35	226	6072
36	229	5961
37	231	5851
38	233	5751
39	235	5654
40	237	5561
41	239	5465
42	241	5381
43	243	5297
44	245	5214
45	247	5134
46	249	5066
47	251	4993
48	253	4924
49	255	4855
50	257	4795
51	259	4739
52	262	4681
53	264	4625
54	266	4575
55	268	4529
56	270	4477
57	272	4425
58	274	4380
59	276	4336
60	278	4292
61	280	4246
62	283	4209
63	285	4169
64	286	4128
65	288	4086
66	291	4055
67	293	4021
68	295	3986
69	298	3959
70	300	3926
71	302	3892
72	303	3858
73	306	3831
74	308	3803
75	310	3774
76	312	3743
77	314	3721
78	317	3698
79	319	3670
80	321	3645
81	324	3627
82	326	3605
83	328	3583
84	331	3564
85	333	3541
86	335	3520
87	337	3499
88	339	3478
89	341	3454
90	343	3430
91	345	3409
92	347	3388
93	349	3367
94	351	3345
95	353	3326
96	356	3315
97	358	3297
98	360	3280
99	363	3267
100	365	3252
101	367	3234
102	369	3217
103	374	3222
104	380	3239
105	385	3252
106	390	3258
107	394	3259
108	398	3258
109	401	3245
110	415	3326
111	417	3312
112	421	3305
113	424	3296
114	427	3287
115	429	3274
116	431	3259
117	434	3245
118	436	3231
119	438	3215
120	440	3200
121	443	3188
122	445	3174
123	447	3158
124	449	3143
125	458	3179
126	460	3166
127	462	3152
128	464	3138
129	467	3127
130	469	3113
131	471	3099
132	473	3086
133	475	3075
134	478	3066
135	480	3054
136	482	3042
137	485	3033
138	488	3024
139	490	3012
140	492	3003
141	495	2991
142	497	2979
143	499	2968
144	501	2959
145	503	2947
146	505	2934
147	507	2923
148	510	2913
149	512	2901
150	514	2890
151	516	2880
152	518	2871
153	520	2860
154	522	2850
155	524	2840
156	527	2830
157	529	2820
158	531	2810
159	533	2801
160	535	2790
161	537	2779
162	539	2771
163	541	2761
164	543	2751
165	545	2741
166	547	2732
167	550	2727
168	552	2718
169	555	2710
170	557	2702
171	559	2692
172	561	2682
173	563	2674
174	566	2668
175	568	2661
176	570	2654
177	573	2649
178	576	2641
179	578	2634
180	580	2628
181	583	2622
182	585	2615
183	588	2610
184	590	2603
185	592	2595
186	595	2587
187	597	2579
188	599	2572
189	601	2564
190	603	2557
191	606	2550
192	608	2542
193	609	2533
194	612	2526
195	614	2521
196	616	2514
197	618	2506
198	620	2499
199	622	2491
200	625	2484
201	627	2478
202	630	2473
203	631	2466
204	633	2458
205	636	2452
206	638	2445
207	640	2439
208	642	2433
209	646	2433
210	649	2428
211	652	2424
212	654	2419
213	656	2412
214	658	2406
215	660	2399
216	663	2392
